# Basic macro run statistics:,,,,,,,,,,,,,,,,,,,
# Date and time: 2023-08-14 18:09:28,,,,,,,,,,,,,,,,,,,
# Macro version: 13,,,,,,,,,,,,,,,,,,,
# Channel: 1,,,,,,,,,,,,,,,,,,,
# Cell (ROI) size interval: 5-Infinity um^2,,,,,,,,,,,,,,,,,,,
# Coefficient of variance threshold: 0,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
exp_code,BR_date,strain,medium,time,condition,frame,mean_background,cell_no,patch_density(find_maxima),patch_density(analyze_particles),area_fraction(patch_vs_ROI),length,length_SD,width,width_SD,size,size_SD,mean_patch_intensity,mean_patch_intensity_SD
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,33,3.1175,3.2733,15.3295,0.2974,0.07925,0.1918,0.04365,0.04683,0.02103,3000.3163,2043.2872
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,34,5.1892,4.6702,27.9173,0.3326,0.08767,0.221,0.04294,0.05978,0.02501,7138.2444,3821.3679
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,35,5.8413,5.2714,27.237,0.3113,0.09935,0.2027,0.04785,0.05167,0.02864,6905.1993,3697.5955
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,36,4.4257,4.1491,20.5085,0.3281,0.1128,0.1822,0.04625,0.04943,0.02764,9166.0759,3550.5328
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,1,4.6356,4.0902,19.2147,0.2853,0.06056,0.2057,0.03195,0.04698,0.01499,7006.5274,2993.2025
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,2,4.497,4.6016,22.0442,0.3046,0.08786,0.1928,0.04196,0.04791,0.02157,5211.6012,3066.3966
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,3,4.2263,4.9848,26.2948,0.3224,0.1137,0.2007,0.05054,0.05275,0.02702,7272.8613,3923.3666
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,4,4.2202,4.6644,26.0293,0.3309,0.09182,0.2057,0.04633,0.0558,0.02552,7289.7343,3340.2045
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,5,4.356,4.6564,22.9636,0.3219,0.09366,0.1872,0.05589,0.04932,0.02497,7291.759,3384.3954
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,6,4.1705,4.0608,19.6032,0.3033,0.06819,0.1991,0.03309,0.04827,0.01505,4040.3474,2162.9384
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,7,4.5247,4.3472,25.6591,0.3317,0.1037,0.2188,0.04327,0.05902,0.02648,5156.7313,2857.2805
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,8,3.0003,3.3161,18.626,0.3295,0.07225,0.212,0.04358,0.05617,0.01909,7024.1675,3607.6078
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,9,3.8124,2.9326,14.5553,0.2988,0.07416,0.2048,0.04547,0.04963,0.02062,7028.7882,3933.8982
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,10,4.9575,4.9575,27.5355,0.3314,0.08347,0.2074,0.04732,0.05554,0.02234,8107.2954,3992.8849
230811_k,230623,Y1492,SMDGE,24h,control,2,532.059,11,3.8348,4.4922,23.7999,0.3179,0.08497,0.2047,0.04733,0.05298,0.02255,6139.5295,3704.588
